"","fit"
"1",565609.203550273
"2",446201.786440894
"3",456883.976752995
"4",491307.220291349
"5",485704.857159325
"6",520574.535414142
"7",540195.087929667
"8",598796.064699311
"9",533681.454753587
"10",474390.632119414
"11",511912.474561689
"12",547250.589693325
"13",609190.591729927
"14",480363.229033857
"15",491641.498924751
"16",528448.038452938
"17",522192.301090313
"18",559438.187453423
"19",580274.175301639
"20",642949.981688367
"21",572793.625110422
"22",508946.48472037
"23",548976.529282471
"24",586635.600713682
"25",652771.979909581
"26",514524.67162682
"27",526399.021096508
"28",565588.856614526
"29",558679.7450213
"30",598301.839492703
"31",620353.262673612
"32",687103.898677423
"33",611905.795467257
"34",543502.337321325
"35",586040.584003253
"36",626020.61173404
"37",696353.368089236
"38",548686.114219783
"39",561156.543268264
"40",602729.674776115
"41",595167.188952287
"42",637165.491531984
"43",660432.350045585
"44",731257.815666479
"45",651017.965824092
"46",578058.189922281
"47",623104.638724035
"48",665405.622754397
"49",739934.75626889
"50",582847.556812746
"51",595914.06544002
"52",639870.492937704
"53",631654.632883274
"54",676029.143571265
"55",700511.437417557
"56",775411.732655534
"57",690130.136180928
"58",612614.042523236
"59",660168.693444817
"60",704790.633774754
"61",783516.144448545
"62",617008.999405709
"63",630671.587611777
"64",677011.311099293
"65",668142.076814262
"66",714892.795610545
"67",740590.52478953
"68",819565.64964459
"69",729242.306537763
"70",647169.895124191
"71",697232.748165599
"72",744175.644795111
"73",827097.532628199
"74",651170.441998672
"75",665429.109783533
"76",714152.129260881
"77",704629.520745249
"78",753756.447649826
"79",780669.612161503
"80",863719.566633646
"81",768354.476894598
"82",681725.747725147
"83",734296.802886381
"84",783560.655815469
"85",870678.920807854
"86",685331.884591635
"87",700186.63195529
"88",751292.94742247
"89",741116.964676236
"90",792620.099689107
"91",820748.699533476
"92",907873.483622702
"93",807466.647251433
"94",716281.600326102
"95",771360.857607163
"96",822945.666835826
"97",914260.308987508
"98",719493.327184598
"99",734944.154127046
"100",788433.765584059
"101",777604.408607224
"102",831483.751728387
"103",860827.786905448
"104",952027.400611757
"105",846578.817608268
"106",750837.452927058
"107",808424.912327945
"108",862330.677856183
"109",957841.697167163
"110",753654.769777561
"111",769701.676298803
"112",825574.583745648
"113",814091.852538211
"114",870347.403767668
"115",900906.874277421
"116",996181.317600813
"117",885690.987965103
"118",785393.305528013
"119",845488.967048727
"120",901715.68887654
"121",1001423.08534682
"122",787816.212370524
"123",804459.198470559
"124",862715.401907237
"125",850579.296469198
"126",909211.055806949
"127",940985.961649394
"128",1040335.23458987
"129",924803.158321938
"130",819949.158128968
"131",882553.021769509
"132",941100.699896898
"133",1045004.47352647
"134",821977.654963487
"135",839216.720642316
"136",899856.220068825
"137",887066.740400185
"138",948074.707846229
"139",981065.049021366
"140",1084489.15157892
"141",963915.328678773
"142",854505.010729924
"143",919617.076490291
"144",980485.710917255
"145",1088585.86170613
"146",856139.09755645
"147",873974.242814072
"148",936997.038230414
"149",923554.184331173
"150",986938.35988551
"151",1021144.13639334
"152",1128643.06856798
"153",1003027.49903561
"154",889060.863330879
"155",956681.131211073
"156",1019870.72193761
"157",1132167.24988578
"158",890300.540149413
"159",908731.764985828
"160",974137.856392003
"161",960041.62826216
"162",1025802.01192479
"163",1061223.22376531
"164",1172796.98555704
"165",1042139.66939244
"166",923616.715931834
"167",993745.185931854
"168",1059255.73295797
"169",1175748.63806543
"170",924461.982742376
"171",943489.287157585
"172",1011278.67455359
"173",996529.072193147
"174",1064665.66396407
"175",1101302.31113728
"176",1216950.90254609
"177",1081251.83974928
"178",958172.56853279
"179",1030809.24065264
"180",1098640.74397833
"181",1219330.02624509
"182",958623.425335339
"183",978246.809329341
"184",1048419.49271518
"185",1033016.51612413
"186",1103529.31600335
"187",1141381.39850926
"188",1261104.81953515
"189",1120364.01010611
"190",992728.421133745
"191",1067873.29537342
"192",1138025.75499868
"193",1262911.41442474
"194",992784.867928302
"195",1013004.3315011
"196",1085560.31087677
"197",1069503.96005512
"198",1142392.96804263
"199",1181460.48588123
"200",1305258.7365242
"201",1159476.18046295
"202",1027284.2737347
"203",1104937.3500942
"204",1177410.76601904
"205",1306492.8026044
"206",1026946.31052127
"207",1047761.85367285
"208",1122701.12903836
"209",1105991.40398611
"210",1181256.62008191
"211",1221539.5732532
"212",1349412.65351326
"213",1198588.35081978
"214",1061840.12633566
"215",1142001.40481498
"216",1216795.7770394
"217",1350074.19078405
"218",1061107.75311423
"219",1082519.37584461
"220",1159841.94719995
"221",1142478.8479171
"222",1220120.27212119
"223",1261618.66062518
"224",1393566.57050232
"225",1237700.52117662
"226",1096395.97893661
"227",1179065.45953576
"228",1256180.78805976
"229",1393655.57896371
"230",1095269.19570719
"231",1117276.89801637
"232",1196982.76536154
"233",1178966.29184808
"234",1258983.92416047
"235",1301697.74799715
"236",1437720.48749137
"237",1276812.69153345
"238",1130951.83153757
"239",1216129.51425655
"240",1295565.79908011
