"","x"
"1",534141.737721192
"2",456087.327459936
"3",454819.403739109
"4",470590.99718912
"5",497005.68192908
"6",527543.790218292
"7",572844.489687613
"8",649594.119587285
"9",586317.190189808
"10",477814.225814722
"11",514404.654701629
"12",539535.504470947
"13",559595.449746024
"14",483505.886713721
"15",489610.624478923
"16",501076.180717026
"17",509469.532278929
"18",553151.350884997
"19",600436.214901534
"20",683697.160864008
"21",595000.710346171
"22",508654.020113584
"23",538576.869631032
"24",578025.646705857
"25",599779.906280588
"26",522536.336913745
"27",524310.917131874
"28",538305.522013598
"29",557283.275425113
"30",593245.448075249
"31",639364.960189349
"32",718801.639373245
"33",645034.740609669
"34",545675.089199498
"35",579513.983035824
"36",610553.465706196
"37",631312.610034463
"38",554746.81886866
"39",559064.614236163
"40",571573.842488045
"41",584335.098961892
"42",624831.22224304
"43",671635.17610791
"44",753317.947518427
"45",670782.531262811
"46",579065.733408262
"47",610604.631660334
"48",646583.113591693
"49",667926.715215721
"50",590962.847127759
"51",593786.945504866
"52",607168.574427271
"53",623580.942671543
"54",661414.157777653
"55",707816.121042759
"56",788179.703551825
"57",710794.267702437
"58",614588.621408587
"59",647478.367418455
"60",680556.045486043
"61",701556.380004294
"62",624826.31293813
"63",628527.698751838
"64",641396.943868924
"65",655664.918366396
"66",695062.129317582
"67",741700.192210037
"68",822838.568976029
"69",742428.41450019
"70",648859.186680719
"71",680955.544356611
"72",715736.940649577
"73",736938.884946272
"74",660071.500405141
"75",663257.632287585
"76",676427.813858326
"77",691955.247071514
"78",730433.882224125
"79",776933.277610258
"80",857616.597378799
"81",778982.939519944
"82",683865.273951675
"83",716427.609414373
"84",750208.367288542
"85",771291.900872179
"86",694505.166487264
"87",697993.92052364
"88",710987.354218672
"89",725775.074280317
"90",764793.213102573
"91",811374.051553761
"92",892324.638237458
"93",812647.597300733
"94",718439.369852855
"95",750728.024334251
"96",785096.483408218
"97",806249.562710694
"98",729415.460372798
"99",732726.47647746
"100",745823.718837704
"101",761045.891843092
"102",799747.166003758
"103",846280.170805799
"104",927073.784617224
"105",848009.549940178
"106",753267.185620822
"107",785716.58012384
"108",819739.866862071
"109",840852.100139015
"110",764045.818242825
"111",767461.22449857
"112",780497.497305828
"113",795464.504697447
"114",834351.881788295
"115",880912.98054762
"116",961798.788645849
"117",882374.636772649
"118",787945.985053496
"119",820300.972724048
"120",854526.98823227
"121",875663.211451796
"122",798840.589880193
"123",802194.685061042
"124",815266.766886591
"125",830383.639738642
"126",869161.713695312
"127",915706.312136347
"128",996537.972110787
"129",917325.209051003
"130",822712.305690031
"131",855122.740970495
"132",889229.688552562
"133",910351.821849321
"134",833538.796997836
"135",836928.901781755
"136",849979.952031244
"137",865008.804965961
"138",903851.075521413
"139",950405.365032343
"140",1031268.82762071
"141",951931.910364035
"142",857427.222827008
"143",889805.092271243
"144",923981.971570646
"145",945112.380248762
"146",868293.718991735
"147",871662.674390891
"148",884726.077036862
"149",899806.626378644
"150",938611.192587133
"151",985159.790278423
"152",1066004.57435714
"153",986740.576118066
"154",892172.330588087
"155",924569.326802457
"156",958705.133369282
"157",979830.681698784
"158",903015.330850629
"159",906396.70783841
"160",919452.855597804
"161",934503.042283219
"162",973329.753244029
"163",1019881.69389035
"164",1100737.4483479
"165",1021430.62285641
"166",926899.706603439
"167",959285.469163828
"168",993445.398824232
"169",1014573.80176401
"170",937756.506625859
"171",941130.588088701
"172",954190.996833348
"173",969259.016303554
"174",1008072.72107025
"175",1054622.69831137
"176",1135472.00957757
"177",1056190.3376552
"178",961637.496938332
"179",994029.857318471
"180",1028175.61885303
"181",1049302.34520529
"182",972486.191999674
"183",975864.558315744
"184",988922.464471946
"185",1003980.01027972
"186",1042801.3539255
"187",1089352.484326
"188",1170205.57984756
"189",1090909.13457402
"190",996369.17067009
"191",1028757.65597757
"192",1062911.7388242
"193",1084039.4498803
"194",1007222.62598775
"195",1010598.47569708
"196",1023657.85168914
"197",1038721.54895369
"198",1077538.40608534
"199",1124088.85920508
"200",1204939.73213417
"201",1125651.96363742
"202",1031104.43684337
"203",1063495.1980827
"204",1097644.39360441
"205",1118771.5263181
"206",1041955.09633758
"207",1045332.42411609
"208",1058390.93683498
"209",1073451.02118755
"210",1112270.51336668
"211",1158821.36427118
"212",1239673.54258715
"213",1160380.67799172
"214",1065837.59308148
"215",1098227.01760631
"216",1132379.08358219
"217",1153506.55597156
"218",1076689.89463616
"219",1080066.35430586
"220",1093125.37404774
"221",1108187.58035831
"222",1147005.52490491
"223",1193556.14217999
"224",1274407.55380799
"225",1195117.68228503
"226",1100571.98853988
"227",1132962.19815221
"228",1167112.57823503
"229",1188239.85112396
"230",1111423.32566936
"231",1114800.29520214
"232",1127859.01715611
"233",1142919.97718507
"234",1181738.83069686
"235",1228289.58518863
"236",1309141.44711259
"237",1229849.81767963
"238",1135305.65617168
"239",1167695.40468152
"240",1201846.77493358
